1438373905686-1194,61,54
1438373905823-1139,-28,256
1438373905964-1135,-27,255
1438373906104-1139,-26,256
1438373906242-1140,-26,257
1438373906385-1136,-27,254
1438373906525-1137,-28,255
1438373906675-1137,-29,254
1438373906808-1135,-29,257
1438373906946-1137,-26,255
1438373907090-1139,-28,256
1438373907229-1134,-29,254
1438373907373-1139,-24,255
1438373907513-1136,-24,250
1438373907655-1137,-25,255
1438373907795-1143,-23,258
1438373907939-1138,-25,263
1438374008043-972,-215,424
1438374008174-1045,-265,133
1438374008318-1047,-264,134
1438374008457-1047,-267,136
1438374008596-1048,-266,134
1438374008739-1048,-266,135
1438374008879-1046,-269,133
1438374009023-1048,-267,135
1438374009161-1048,-269,135
1438374009322-1046,-266,134
1438374009445-1047,-267,135
1438374009584-1049,-268,137
1438374009727-1045,-266,133
1438374009867-1046,-267,134
1438374010006-1045,-264,136
1438374010148-1045,-266,133
Sat Aug 01 2015 05:27:20 GMT+0900 (Korea Standard Time)-185,-527,383
Sat Aug 01 2015 05:27:20 GMT+0900 (Korea Standard Time)-208,-482,446
Sat Aug 01 2015 05:27:20 GMT+0900 (Korea Standard Time)-205,-480,448
Sat Aug 01 2015 05:27:20 GMT+0900 (Korea Standard Time)-207,-480,448
Sat Aug 01 2015 05:27:21 GMT+0900 (Korea Standard Time)-209,-478,448
Sat Aug 01 2015 05:27:21 GMT+0900 (Korea Standard Time)-205,-478,446
Sat Aug 01 2015 05:27:21 GMT+0900 (Korea Standard Time)-204,-482,446
Sat Aug 01 2015 05:27:21 GMT+0900 (Korea Standard Time)-204,-479,448
Sat Aug 01 2015 05:27:21 GMT+0900 (Korea Standard Time)-214,-476,452
Sat Aug 01 2015 05:27:21 GMT+0900 (Korea Standard Time)-203,-474,452
Sat Aug 01 2015 05:27:21 GMT+0900 (Korea Standard Time)-209,-477,448
Sat Aug 01 2015 19:42:09 GMT+0900 (Korea Standard Time),-246,616,426
Sat Aug 01 2015 19:42:09 GMT+0900 (Korea Standard Time),-418,416,457
Sat Aug 01 2015 19:42:10 GMT+0900 (Korea Standard Time),-401,433,385
Sat Aug 01 2015 19:42:10 GMT+0900 (Korea Standard Time),-394,416,355
Sat Aug 01 2015 19:42:10 GMT+0900 (Korea Standard Time),-392,418,354
Sat Aug 01 2015 19:42:11 GMT+0900 (Korea Standard Time),-392,421,354
Sat Aug 01 2015 19:42:11 GMT+0900 (Korea Standard Time),-398,420,355
Sat Aug 01 2015 19:42:11 GMT+0900 (Korea Standard Time),-396,422,355
Sat Aug 01 2015 19:42:12 GMT+0900 (Korea Standard Time),-393,422,356
Sat Aug 01 2015 19:42:12 GMT+0900 (Korea Standard Time),-394,421,357
Sat Aug 01 2015 19:42:12 GMT+0900 (Korea Standard Time),-396,421,357
Sat Aug 01 2015 19:42:13 GMT+0900 (Korea Standard Time),-393,421,356
Sat Aug 01 2015 19:42:13 GMT+0900 (Korea Standard Time),-398,417,349
Sat Aug 01 2015 19:42:13 GMT+0900 (Korea Standard Time),-402,419,350
Sat Aug 01 2015 19:42:14 GMT+0900 (Korea Standard Time),-397,422,350
Sat Aug 01 2015 19:42:14 GMT+0900 (Korea Standard Time),-397,422,349
Sat Aug 01 2015 19:42:14 GMT+0900 (Korea Standard Time),-397,418,352
Sat Aug 01 2015 19:42:15 GMT+0900 (Korea Standard Time),-400,419,354
Sat Aug 01 2015 19:42:15 GMT+0900 (Korea Standard Time),-396,421,354
Sat Aug 01 2015 19:42:15 GMT+0900 (Korea Standard Time),-397,419,357
Sat Aug 01 2015 19:42:16 GMT+0900 (Korea Standard Time),-400,423,348
Sat Aug 01 2015 19:42:16 GMT+0900 (Korea Standard Time),-402,422,348
Sat Aug 01 2015 19:42:16 GMT+0900 (Korea Standard Time),-406,428,352
Sat Aug 01 2015 19:42:17 GMT+0900 (Korea Standard Time),-399,428,355
Sat Aug 01 2015 19:42:17 GMT+0900 (Korea Standard Time),-404,433,352
Sat Aug 01 2015 19:42:17 GMT+0900 (Korea Standard Time),-403,428,353
Sat Aug 01 2015 19:42:18 GMT+0900 (Korea Standard Time),-404,427,358
Sat Aug 01 2015 19:42:18 GMT+0900 (Korea Standard Time),-401,430,354
Sat Aug 01 2015 19:42:19 GMT+0900 (Korea Standard Time),-403,429,352
Sat Aug 01 2015 19:42:19 GMT+0900 (Korea Standard Time),-404,429,350
Sat Aug 01 2015 19:42:19 GMT+0900 (Korea Standard Time),-379,447,432
Sat Aug 01 2015 19:42:20 GMT+0900 (Korea Standard Time),-360,186,550
Sat Aug 01 2015 19:42:20 GMT+0900 (Korea Standard Time),-69,-112,450
Sat Aug 01 2015 19:42:20 GMT+0900 (Korea Standard Time),-672,290,430
Sat Aug 01 2015 19:42:21 GMT+0900 (Korea Standard Time),-731,299,370
Sat Aug 01 2015 19:42:21 GMT+0900 (Korea Standard Time),-204,-191,422
Sat Aug 01 2015 19:42:21 GMT+0900 (Korea Standard Time),-471,38,500
Sat Aug 01 2015 19:42:22 GMT+0900 (Korea Standard Time),-792,263,325
Sat Aug 01 2015 19:42:22 GMT+0900 (Korea Standard Time),-501,95,530
Sat Aug 01 2015 19:42:22 GMT+0900 (Korea Standard Time),-468,-36,459
Sat Aug 01 2015 19:42:23 GMT+0900 (Korea Standard Time),-755,202,353
Sat Aug 01 2015 19:42:23 GMT+0900 (Korea Standard Time),-623,312,463
Sat Aug 01 2015 19:42:23 GMT+0900 (Korea Standard Time),-414,-52,471
Sat Aug 01 2015 19:42:24 GMT+0900 (Korea Standard Time),-593,190,475
Sat Aug 01 2015 19:42:24 GMT+0900 (Korea Standard Time),-585,299,476
Sat Aug 01 2015 19:42:24 GMT+0900 (Korea Standard Time),-332,-59,479
Sat Aug 01 2015 19:42:25 GMT+0900 (Korea Standard Time),-354,15,503
Sat Aug 01 2015 19:42:25 GMT+0900 (Korea Standard Time),-365,115,525
Sat Aug 01 2015 19:42:25 GMT+0900 (Korea Standard Time),-422,189,523
Sat Aug 01 2015 19:42:26 GMT+0900 (Korea Standard Time),-450,198,516
Sat Aug 01 2015 19:42:26 GMT+0900 (Korea Standard Time),-455,190,518
Sat Aug 01 2015 19:42:26 GMT+0900 (Korea Standard Time),-467,206,516
Sat Aug 01 2015 19:42:27 GMT+0900 (Korea Standard Time),-463,204,516
Sat Aug 01 2015 19:42:27 GMT+0900 (Korea Standard Time),-478,200,518
Sat Aug 01 2015 19:42:27 GMT+0900 (Korea Standard Time),-501,190,515
Sat Aug 01 2015 19:42:28 GMT+0900 (Korea Standard Time),-505,195,512
Sat Aug 01 2015 19:42:28 GMT+0900 (Korea Standard Time),-509,199,506
Sat Aug 01 2015 19:42:28 GMT+0900 (Korea Standard Time),-519,205,504
Sat Aug 01 2015 19:42:29 GMT+0900 (Korea Standard Time),-526,204,503
Sat Aug 01 2015 19:42:29 GMT+0900 (Korea Standard Time),-533,204,503
Sat Aug 01 2015 19:42:29 GMT+0900 (Korea Standard Time),-533,201,501
Sat Aug 01 2015 19:42:30 GMT+0900 (Korea Standard Time),-535,199,500
Sat Aug 01 2015 19:42:30 GMT+0900 (Korea Standard Time),-537,202,499
Sat Aug 01 2015 19:42:30 GMT+0900 (Korea Standard Time),-536,205,501
Sat Aug 01 2015 19:42:31 GMT+0900 (Korea Standard Time),-537,202,501
Sat Aug 01 2015 19:42:31 GMT+0900 (Korea Standard Time),-539,206,498
Sat Aug 01 2015 19:42:31 GMT+0900 (Korea Standard Time),-542,208,498
Sat Aug 01 2015 19:42:32 GMT+0900 (Korea Standard Time),-540,205,499
Sat Aug 01 2015 19:42:32 GMT+0900 (Korea Standard Time),-543,210,496
Sat Aug 01 2015 19:42:33 GMT+0900 (Korea Standard Time),-545,207,497
Sat Aug 01 2015 19:42:33 GMT+0900 (Korea Standard Time),-539,209,499
Sat Aug 01 2015 19:42:33 GMT+0900 (Korea Standard Time),-546,209,499
Sat Aug 01 2015 19:42:34 GMT+0900 (Korea Standard Time),-542,213,500
Sat Aug 01 2015 19:42:34 GMT+0900 (Korea Standard Time),-545,211,494
Sat Aug 01 2015 19:42:34 GMT+0900 (Korea Standard Time),-546,211,498
Sat Aug 01 2015 19:42:35 GMT+0900 (Korea Standard Time),-548,212,498
Sat Aug 01 2015 19:42:35 GMT+0900 (Korea Standard Time),-552,208,498
Sat Aug 01 2015 19:42:35 GMT+0900 (Korea Standard Time),-528,228,504
Sat Aug 01 2015 19:42:36 GMT+0900 (Korea Standard Time),-514,248,502
Sat Aug 01 2015 19:42:36 GMT+0900 (Korea Standard Time),-521,231,505
Sat Aug 01 2015 19:42:36 GMT+0900 (Korea Standard Time),-534,237,500
Sat Aug 01 2015 19:42:37 GMT+0900 (Korea Standard Time),-545,234,498
